,CBA,CBB,CBC,CBD,N2A,N2B,N2C,N2D
WBGene00019922,123,216,91,97,22,73,50,107
WBGene00171856,0,0,0,0,0,0,0,0
WBGene00171857,0,0,0,0,0,1,0,1
WBGene00171854,0,0,0,0,0,0,0,0
WBGene00171855,0,0,0,0,0,0,0,0
WBGene00171852,0,0,0,0,0,0,0,0
WBGene00171853,0,0,0,0,0,0,0,0
WBGene00171850,0,0,1,0,0,0,0,0
WBGene00006025,19,14,5,0,0,4,0,6
WBGene00006028,0,6,0,3,0,9,0,5
WBGene00006029,0,0,0,0,0,0,0,0
WBGene00195430,0,0,1,0,0,0,0,1
WBGene00171858,0,0,0,0,0,0,0,0
WBGene00171859,0,0,0,0,0,0,0,0
WBGene00005100,0,0,0,0,0,0,0,0
WBGene00195431,0,0,0,0,0,0,0,0
WBGene00009480,191,181,184,123,155,141,126,91
WBGene00202381,0,0,0,0,0,0,0,0
WBGene00009483,4498,5588,5673,4629,4583,4637,4605,4455
WBGene00195437,0,0,1,0,0,0,0,0
WBGene00009482,13890,16019,16532,12091,11768,11314,10830,9320
WBGene00202383,0,0,1,0,1,2,1,0
WBGene00005104,18,5,12,11,6,3,5,2
WBGene00195435,0,1,5,0,0,0,0,1
WBGene00198504,8,0,0,0,1,0,0,0
WBGene00005106,10,93,105,150,0,9,0,28
WBGene00009486,0,8,0,0,0,0,0,0
WBGene00009489,2563,2787,2991,2048,1915,1628,1701,1554
WBGene00173759,0,0,0,0,0,0,0,0
WBGene00173758,1,0,1,0,1,0,0,0
WBGene00173757,0,0,0,0,0,0,0,0
WBGene00173756,0,0,0,0,0,0,0,0
WBGene00173755,0,0,0,0,0,0,0,0
WBGene00173754,0,0,0,0,0,0,0,0
WBGene00173753,0,0,0,0,0,0,0,0
WBGene00173752,1,0,0,0,0,0,0,0
WBGene00173751,0,0,0,0,0,0,0,0
WBGene00173750,0,0,0,0,0,0,0,0
WBGene00047258,0,0,0,0,0,0,0,0
WBGene00047259,0,0,0,0,0,0,0,0
WBGene00047252,0,4,1,1,1,0,1,1
WBGene00047253,0,0,0,0,0,0,0,0
WBGene00047250,0,0,0,0,0,0,0,0
WBGene00047251,0,0,0,0,0,0,0,0
WBGene00047256,0,0,0,0,0,0,0,0
WBGene00047257,0,0,0,0,0,0,0,0
WBGene00047254,0,0,0,0,0,0,0,0
WBGene00047255,0,0,0,0,0,0,0,0
WBGene00197789,0,0,0,0,0,0,0,0
WBGene00046428,0,0,0,0,0,1,0,0
WBGene00196708,0,6,2,1,2,4,0,0
WBGene00166613,0,0,0,0,0,0,0,0
WBGene00046429,0,0,0,0,0,0,0,0
WBGene00018591,391,551,777,425,416,424,411,214
WBGene00018590,1649,2200,1902,1468,1213,1114,1076,971
WBGene00005599,0,0,12,16,0,0,4,6
WBGene00005598,7,0,0,0,0,0,0,0
WBGene00018595,428,575,475,537,431,521,526,594
WBGene00018594,3415,3897,3839,2847,3519,3383,3167,2666
WBGene00018596,0,0,0,0,0,0,0,0
WBGene00018599,7080,8526,7995,7184,6377,7430,7487,7788
WBGene00018598,2391,2610,2046,2366,1636,2203,2284,2820
WBGene00005591,12,18,0,0,4,11,0,6
WBGene00005590,2,0,3,5,3,0,0,4
WBGene00005597,0,0,0,0,0,0,0,0
WBGene00005596,0,0,0,0,0,0,0,0
WBGene00005595,0,0,0,3,0,0,0,0
WBGene00005594,0,0,0,0,0,0,0,0
WBGene00170811,0,0,0,0,0,0,0,0
WBGene00170810,0,0,0,0,0,0,0,0
WBGene00170813,0,0,0,0,0,0,0,0
WBGene00170812,0,0,1,0,1,0,0,1
WBGene00170815,0,0,0,0,0,0,0,0
WBGene00170814,0,0,0,0,0,0,0,0
WBGene00170817,0,0,0,0,0,0,0,0
WBGene00170816,0,0,0,0,0,0,0,0
WBGene00170819,0,0,0,0,0,1,0,0
WBGene00170818,1,1,1,1,1,1,1,1
WBGene00172086,0,1,0,1,0,0,0,0
WBGene00172087,0,0,0,0,0,0,0,0
WBGene00172080,0,0,0,0,0,0,0,0
WBGene00172081,0,0,0,0,0,0,0,0
WBGene00172082,0,0,0,0,0,0,0,0
WBGene00172083,0,0,0,0,0,0,0,0
WBGene00197782,0,0,0,0,0,0,0,0
WBGene00007920,34,43,37,6,81,77,69,71
WBGene00008619,0,0,0,0,0,0,0,0
WBGene00008618,2,0,0,0,9,9,3,4
WBGene00008617,0,5,0,0,0,0,9,17
WBGene00008616,50,63,44,53,15,27,41,25
WBGene00008615,32,48,26,22,0,0,10,15
WBGene00008613,51,89,37,60,14,31,25,32
WBGene00008612,160,285,219,112,0,0,0,0
WBGene00008611,28,87,68,40,8,10,7,0
WBGene00008610,1287,3173,2317,1710,961,1537,1463,1526
WBGene00197783,0,0,0,0,0,0,0,0
WBGene00170710,0,0,0,0,0,0,0,0
WBGene00046422,0,0,0,0,0,0,0,0
WBGene00015747,1505,1599,1607,1577,3792,5297,5743,7415
WBGene00015746,5137,6435,5367,5815,4429,5857,6181,7135
WBGene00015745,8676,10724,8473,9289,6332,8846,8962,11443
WBGene00015744,2511,3195,2816,2753,2062,2685,2798,3028
WBGene00015743,28007,38097,34767,30072,22954,29740,28656,29703
WBGene00015742,923,1149,869,1067,737,962,1024,1311
WBGene00015741,590,791,959,641,577,554,592,512
WBGene00015740,1120,1598,1311,1049,911,1069,891,1001
WBGene00012779,186,331,311,218,185,181,203,164
WBGene00012778,140,620,319,318,75,242,202,282
WBGene00012777,4881,5675,7259,4339,3992,3871,3731,2433
WBGene00012776,1202,1494,1482,980,899,1100,949,867
WBGene00012775,12,22,12,6,5,14,8,5
WBGene00012773,10,24,14,24,4,16,5,6
WBGene00012772,93,129,153,124,59,58,72,44
WBGene00012771,0,0,0,0,0,0,0,0
WBGene00012770,1,27,12,15,4,0,0,7
WBGene00174773,0,0,0,0,0,0,0,0
WBGene00202037,0,0,0,0,0,0,0,0
WBGene00202036,0,1,3,0,1,0,3,1
WBGene00202035,2,2,1,0,1,0,0,0
WBGene00174778,0,0,0,0,0,0,0,0
WBGene00018049,228,166,86,104,34,3,17,9
WBGene00046420,0,0,0,0,0,0,0,0
WBGene00174779,0,0,0,0,0,0,0,0
WBGene00018043,94,140,181,117,105,114,114,114
WBGene00195380,8,1,1,4,4,4,9,3
WBGene00018041,762,904,1022,692,794,684,661,423
WBGene00018040,687,773,1206,515,761,681,562,201
WBGene00018047,143,111,100,75,24,12,19,19
WBGene00018046,4846,5729,5761,5140,4560,4993,5294,4982
WBGene00018045,5279,6296,6070,5740,4548,4765,5172,5208
WBGene00017999,4383,5444,5259,4867,4112,4522,4777,5223
WBGene00195878,0,0,0,0,0,0,0,0
WBGene00195879,7,0,0,0,1,1,0,2
WBGene00195382,0,1,1,1,1,0,0,0
WBGene00195872,0,3,2,4,1,0,4,1
WBGene00195873,0,0,0,0,0,0,0,0
WBGene00195870,3,4,1,3,3,2,2,4
WBGene00195871,1,0,0,0,0,0,0,0
WBGene00195876,1,0,0,0,0,0,0,0
WBGene00195877,25,18,16,8,14,7,0,14
WBGene00195874,0,2,0,0,0,0,0,0
WBGene00195875,0,0,0,0,0,0,0,0
WBGene00017997,15228,16690,16304,14595,13306,14003,13853,14817
WBGene00017990,3701,4362,3726,3522,3266,4395,4539,5235
WBGene00195389,0,0,0,0,0,0,0,0
WBGene00174015,0,0,0,0,0,0,0,0
WBGene00171066,0,0,0,0,0,0,0,0
WBGene00171065,0,0,0,0,0,0,0,0
WBGene00174016,0,0,0,0,0,0,0,0
WBGene00171063,0,0,0,0,0,0,0,0
WBGene00017992,5117,7436,5815,5969,3314,5397,5607,6262
WBGene00171061,0,0,0,0,0,0,0,0
WBGene00174012,0,0,0,0,0,0,0,0
WBGene00017993,30352,34782,32128,29450,24980,28670,28952,30586
WBGene00174019,0,0,0,0,0,0,0,0
WBGene00174018,0,0,0,0,0,0,0,0
WBGene00171069,0,0,1,1,0,0,1,2
WBGene00171068,0,0,1,0,0,0,0,0
WBGene00200422,0,1,1,0,6,1,0,0
WBGene00200423,2,7,2,2,1,1,1,1
WBGene00200420,0,0,0,0,0,0,0,0
WBGene00200421,0,0,0,0,0,0,0,0
WBGene00200426,0,0,0,0,0,0,0,0
WBGene00200427,0,0,0,0,2,0,0,0
WBGene00200424,0,0,0,0,1,0,0,0
WBGene00200425,0,0,0,0,0,0,0,0
WBGene00200428,7,1,0,0,8,2,0,0
WBGene00200429,0,0,0,0,0,0,0,0
WBGene00044239,6,15,7,0,10,0,0,0
WBGene00044238,52,44,58,39,25,20,26,31
WBGene00044230,4,7,0,2,1,2,3,4
WBGene00044233,1566,1994,1776,1743,1037,1261,1371,1311
WBGene00044232,155,165,116,135,96,74,151,175
WBGene00044235,410,451,409,336,267,215,272,192
WBGene00044237,11,0,25,5,2,16,13,11
WBGene00044236,496,301,349,365,162,265,372,540
WBGene00046355,0,1,0,0,1,0,0,1
WBGene00013208,3407,4917,3268,4243,2367,3776,4077,4798
WBGene00200647,0,0,0,0,0,0,0,0
WBGene00007268,174,150,166,106,119,109,143,87
WBGene00170718,0,0,0,0,0,0,0,0
WBGene00013207,1091,883,1434,1911,1379,955,1391,2219
WBGene00174933,0,1,1,0,1,0,1,1
WBGene00195884,4,2,3,0,1,0,0,1
WBGene00174488,1,2,2,0,0,0,2,2
WBGene00006927,461074,837807,375170,730143,628808,847703,984912,1708416
WBGene00006926,1739411,3193273,1454188,2396787,1348308,1968245,2193924,3521927
WBGene00006925,500970,958397,412811,797580,379265,526219,613363,1080294
WBGene00011418,3632,5537,4714,3966,3460,4291,3948,4074
WBGene00006923,8265,13473,12757,9124,9045,11698,11183,9300
WBGene00006922,1024,1472,1468,1300,1002,1087,1163,1163
WBGene00006921,106619,152540,137379,129596,123389,130135,133855,140932
WBGene00006920,57135,72245,67317,60981,74102,73697,75318,81170
WBGene00006929,826832,1526782,654032,1270390,827002,1109507,1276847,2209926
WBGene00006928,506103,932768,415431,813106,640966,858155,996216,1710614
WBGene00044907,106,166,103,129,144,184,191,154
WBGene00044906,16,41,13,25,28,20,21,18
WBGene00044905,0,0,0,0,2,0,3,5
WBGene00044903,758,908,956,758,805,802,820,714
WBGene00044902,0,0,0,0,0,0,0,0
WBGene00044901,726,1550,713,702,321,390,417,451
WBGene00044900,27,104,44,65,14,3,9,9
WBGene00174480,0,0,0,0,0,0,0,0
WBGene00044909,318,335,400,297,500,402,455,352
WBGene00044908,22,41,28,11,12,5,13,13
WBGene00011410,14134,18594,14059,15910,9244,13957,14865,18410
WBGene00011417,311,561,438,408,326,415,374,500
WBGene00174487,0,0,0,0,0,0,0,0
WBGene00174484,1,1,1,1,2,1,0,0
WBGene00017659,2589,5704,3649,3497,2023,3763,3299,4258
WBGene00017658,10600,19054,11532,8052,7807,7851,7218,6027
WBGene00017657,42887,57073,55809,35793,36326,37150,34890,29782
WBGene00017656,3,0,0,0,0,0,0,0
WBGene00017655,0,0,0,0,0,0,0,0
WBGene00011414,1064,1133,1055,785,889,755,813,818
WBGene00017653,373,657,657,400,476,417,455,425
WBGene00017652,4,0,0,0,0,0,0,0
WBGene00017651,960,1578,1276,915,483,563,515,491
WBGene00017650,48,56,92,58,41,56,49,41
WBGene00010388,0,0,0,0,0,5,1,0
WBGene00010389,1,0,0,0,0,0,0,0
WBGene00007965,22776,26619,21200,24568,14041,19287,19506,25639
WBGene00010385,781,1176,1224,949,707,854,831,693
WBGene00010386,1352,1672,1676,1196,1304,1393,1478,1433
WBGene00010387,14,14,19,5,0,6,3,7
WBGene00010380,0,4,0,3,0,4,7,7
WBGene00010381,744,921,775,525,474,554,630,615
WBGene00010382,7,18,11,15,10,11,11,13
WBGene00010383,4071,5643,4654,3803,4388,4600,4560,4772
WBGene00046661,0,0,0,0,0,0,0,0
WBGene00198749,0,0,0,0,0,0,0,0
WBGene00198748,0,0,0,0,0,0,0,0
WBGene00198747,0,0,0,0,0,0,0,0
WBGene00198746,7,0,3,0,0,0,2,1
WBGene00198745,0,1,0,0,0,0,0,2
WBGene00198744,1,0,0,0,0,0,0,0
WBGene00198743,0,0,0,0,1,0,0,1
WBGene00198742,0,0,1,0,0,0,0,0
WBGene00198741,1,0,0,0,5,3,0,0
WBGene00198740,0,0,0,0,0,0,1,0
WBGene00195591,0,0,0,0,0,0,0,0
WBGene00195590,0,0,0,0,0,0,0,0
WBGene00195593,0,0,0,0,0,0,0,0
WBGene00195592,0,0,0,0,0,0,0,0
WBGene00195595,0,1,0,0,2,0,0,0
WBGene00195594,0,2,1,0,0,0,0,0
WBGene00195597,0,0,0,0,0,0,0,0
WBGene00195596,1,0,1,0,1,0,0,0
WBGene00195599,0,0,0,1,7,2,0,1
WBGene00195598,0,0,0,0,1,0,0,0
WBGene00006740,2477,3045,2626,2988,1986,2346,2731,3172
WBGene00022310,10569,12952,11034,12276,8537,11643,11884,13320
WBGene00197745,4,1,1,0,0,0,0,0
WBGene00197742,36,40,31,37,35,46,34,37
WBGene00197743,0,0,0,0,0,0,0,0
WBGene00197740,1,0,0,0,0,0,0,1
WBGene00197741,1,0,0,0,2,0,0,0
WBGene00021248,37810,48090,47096,41316,36329,36204,38324,36942
WBGene00195049,0,10,13,0,0,0,0,6
WBGene00195048,7,24,13,8,0,0,0,0
WBGene00195043,4,3,0,3,3,0,0,0
WBGene00195040,16,15,18,13,14,15,17,13
WBGene00195046,4,2,0,0,2,0,3,0
WBGene00195045,178,194,212,189,376,0,522,63
WBGene00001777,254,236,309,390,103,76,120,172
WBGene00219419,0,0,0,0,0,0,0,0
WBGene00219418,31,20,10,12,21,21,18,13
WBGene00001776,2814,3617,3065,3506,3596,3256,3673,5058
WBGene00219415,23,30,30,37,37,0,31,18
WBGene00219414,0,0,0,0,0,0,0,0
WBGene00219417,0,0,0,0,0,0,0,0
WBGene00219416,8,12,35,17,47,31,34,8
WBGene00219411,42,52,30,19,0,0,0,0
WBGene00001775,410,219,269,229,12941,12210,12702,12937
WBGene00219413,87,117,112,99,35,39,38,56
WBGene00219412,10,5,11,3,6,7,8,3
WBGene00196583,1,6,4,0,3,2,7,3
WBGene00196582,2,0,0,1,0,4,0,0
WBGene00196581,3,1,0,0,1,0,1,1
WBGene00196580,1,1,0,0,1,1,0,1
WBGene00196587,0,0,0,0,0,0,0,1
WBGene00196586,1,0,0,0,1,0,0,0
WBGene00196585,0,0,0,0,0,0,0,0
WBGene00196584,1,1,0,0,0,0,0,0
WBGene00001773,15,29,9,9,11,5,14,13
WBGene00196589,0,0,0,0,0,0,1,1
WBGene00196588,0,0,0,0,0,0,0,0
WBGene00001771,376,402,435,324,182,152,206,124
WBGene00169155,1,0,1,1,1,0,0,0
WBGene00011167,956,896,899,621,296,212,289,314
WBGene00011166,1259,1217,1139,950,1063,926,974,1130
WBGene00011165,784,864,750,561,154,108,132,138
WBGene00011164,28,33,34,23,32,26,401,496
WBGene00011163,117,86,104,74,82,94,64,57
WBGene00011162,259,201,197,38,536,477,486,620
WBGene00011161,15,40,15,13,9,14,16,15
WBGene00011160,0,23,12,8,9,3,3,0
WBGene00168775,0,0,0,0,0,0,0,0
WBGene00168774,0,0,0,0,0,0,0,0
WBGene00168777,0,1,0,0,0,0,0,1
WBGene00168776,0,0,0,0,0,0,0,0
WBGene00168771,0,0,0,0,0,0,0,0
WBGene00168770,0,0,0,0,0,0,0,0
WBGene00011169,0,0,0,0,0,0,0,0
WBGene00168772,0,0,0,0,0,0,0,0
WBGene00201296,0,1,0,0,0,0,0,0
WBGene00201297,0,0,0,0,0,0,0,0
WBGene00201294,4,1,1,7,10,7,2,0
WBGene00201295,0,1,0,0,1,0,1,1
WBGene00201292,0,0,0,0,0,0,0,0
WBGene00201293,0,0,0,0,0,0,0,0
WBGene00201290,0,0,0,4,0,0,0,0
WBGene00201291,4,2,3,1,0,3,1,0
WBGene00201298,0,0,0,0,0,0,0,0
WBGene00201299,0,0,0,0,0,0,0,0
WBGene00199249,0,0,0,0,0,0,0,0
WBGene00168300,0,0,0,0,0,0,0,0
WBGene00199248,0,0,0,0,0,1,0,0
WBGene00013819,403,477,684,456,380,361,403,388
WBGene00199245,0,0,0,0,0,0,0,0
WBGene00199244,0,0,0,0,0,0,0,0
WBGene00198501,0,0,0,0,0,0,0,0
WBGene00167567,0,0,0,0,0,0,0,0
WBGene00167566,0,0,0,0,0,0,0,0
WBGene00167561,0,0,0,1,0,0,0,0
WBGene00167560,0,0,0,0,0,0,0,0
WBGene00049056,0,0,0,0,0,0,0,0
WBGene00049057,0,0,0,0,0,0,0,0
WBGene00049054,0,0,0,0,0,0,0,0
WBGene00049055,0,0,0,0,0,0,0,0
WBGene00175009,0,0,0,0,0,0,0,0
WBGene00049053,0,0,0,0,0,0,0,1
WBGene00049050,0,0,0,0,0,0,0,0
WBGene00049051,0,0,0,0,0,0,0,0
WBGene00175005,0,0,0,0,0,0,0,0
WBGene00175004,0,0,0,0,0,0,0,0
WBGene00175007,0,0,0,0,0,0,0,0
WBGene00199242,0,0,0,0,0,0,0,0
WBGene00175001,0,0,0,0,0,0,0,0
WBGene00175000,0,0,0,0,0,0,0,0
WBGene00175003,0,0,0,0,0,0,0,0
WBGene00049059,0,0,0,0,0,0,0,0
WBGene00044454,1,2,1,2,0,1,0,1
WBGene00048889,0,0,0,0,1,0,0,0
WBGene00050696,0,0,0,0,0,0,0,0
WBGene00197358,0,0,0,0,1,0,0,0
WBGene00050694,0,1,0,1,0,0,0,1
WBGene00050695,0,0,0,0,0,0,0,0
WBGene00050692,0,0,0,0,0,0,0,0
WBGene00050693,0,0,0,0,1,0,0,1
WBGene00050690,0,0,0,0,0,0,0,0
WBGene00050691,0,0,0,0,0,0,0,0
WBGene00197351,0,0,0,0,0,0,0,0
WBGene00165070,0,0,0,0,0,1,0,0
WBGene00197353,0,1,0,0,3,0,0,1
WBGene00197352,0,0,0,0,0,0,0,0
WBGene00165075,0,0,0,0,0,0,0,0
WBGene00197354,1,0,0,0,0,0,0,0
WBGene00022848,5715,8502,8394,6052,7097,7877,7952,5815
WBGene00197356,10,2,2,0,3,0,1,1
WBGene00199165,0,0,0,0,0,0,0,0
WBGene00045621,0,0,0,0,0,0,0,0
WBGene00045620,0,0,0,0,0,0,0,0
WBGene00045623,0,0,0,0,0,0,0,0
WBGene00045622,0,0,0,0,0,0,0,0
WBGene00045625,0,0,0,0,0,1,0,0
WBGene00045624,0,0,0,0,0,0,0,0
WBGene00045627,0,0,0,0,0,0,0,0
WBGene00045626,0,0,0,1,1,0,1,1
WBGene00045629,0,0,0,0,0,0,0,0
WBGene00045628,0,0,0,0,0,0,0,0
WBGene00044551,17,19,22,13,18,6,20,11
WBGene00048011,0,0,0,0,0,0,0,0
WBGene00048010,1,2,0,0,1,0,0,0
WBGene00048013,0,0,0,0,0,0,0,0
WBGene00048012,0,0,0,0,0,0,0,0
WBGene00048015,0,0,0,0,0,0,0,0
WBGene00048014,0,0,0,0,0,0,0,0
WBGene00048017,1,0,0,0,0,0,0,0
WBGene00048016,0,0,0,0,0,0,0,0
WBGene00048019,0,1,0,1,0,0,0,0
WBGene00048018,0,0,0,0,0,0,0,0
WBGene00198505,0,0,0,0,0,0,0,0
WBGene00197824,1,1,1,1,1,1,1,1
WBGene00169056,0,0,0,0,0,0,0,0
WBGene00019097,19604,25313,25378,19771,17950,18263,18996,20043
WBGene00019096,1035,1143,1409,1007,1312,1185,1280,970
WBGene00019095,0,0,14,0,5648,5883,5575,5641
WBGene00019094,33,106,39,0,181,192,215,161
WBGene00019092,664,881,796,665,577,691,715,666
WBGene00019091,5,0,10,13,0,0,10,0
WBGene00019090,568,645,642,603,609,411,589,821
WBGene00019099,0,5,16,0,0,0,0,0
WBGene00019098,25,17,21,13,8,25,23,10
WBGene00169055,0,1,0,0,0,0,0,1
WBGene00016246,583,731,705,634,485,423,403,367
WBGene00016245,7189,7897,6123,6449,5327,6244,6265,7631
WBGene00016244,8762,11834,10915,10004,8360,9718,10088,10679
WBGene00165699,0,0,0,0,0,0,0,0
WBGene00016242,1189,1257,1897,864,989,901,784,311
WBGene00166804,0,0,0,0,0,0,0,0
WBGene00165695,0,0,0,0,0,0,0,0
WBGene00165694,0,0,0,0,0,0,0,0
WBGene00197977,2,3,9,0,3,3,9,1
WBGene00165696,1,0,0,0,0,0,1,0
WBGene00165691,0,0,0,0,0,0,0,0
WBGene00197970,0,0,1,0,0,0,0,0
WBGene00197973,0,1,0,1,7,1,1,0
WBGene00197972,0,0,0,0,0,0,0,0
WBGene00197170,0,0,0,0,0,0,0,0
WBGene00166800,0,0,0,0,0,0,0,0
WBGene00166526,0,0,0,0,0,0,0,0
WBGene00196007,0,0,1,0,0,0,0,0
WBGene00196004,0,0,0,0,0,0,0,0
WBGene00196005,1,1,1,0,1,3,0,3
WBGene00196002,0,0,0,0,0,0,0,0
WBGene00196003,1,1,0,0,2,0,0,1
WBGene00166520,0,0,0,0,0,0,0,0
WBGene00196001,1,0,0,0,1,0,2,0
WBGene00166802,0,0,0,0,0,0,0,0
WBGene00198506,4,4,0,1,0,4,1,2
WBGene00196008,2,0,0,0,2,0,0,0
WBGene00166529,0,0,0,0,0,0,0,0
WBGene00019541,135,206,197,134,100,80,95,78
WBGene00019540,112499,245579,117498,169687,101698,139430,199398,251365
WBGene00019543,40470,57267,48617,46199,41789,46414,47489,42366
WBGene00004768,24862,34151,30085,27797,21805,27188,26937,29160
WBGene00019545,161,292,303,197,121,153,168,116
WBGene00019544,11944,16328,14828,14608,9941,11600,12170,13117
WBGene00044578,696,840,703,489,583,611,605,614
WBGene00044579,23,0,8,13,0,0,0,0
WBGene00019549,0,0,7,7,4,0,9,7
WBGene00019548,0,12,10,0,7,0,0,0
WBGene00044574,535,566,657,379,401,346,340,293
WBGene00044575,13,16,9,9,4,6,4,4
WBGene00012405,1236,1931,970,1362,428,861,817,1141
WBGene00044573,17,15,30,4,11,13,8,0
WBGene00044570,157,211,216,161,196,184,268,242
WBGene00044571,91,67,127,72,77,74,56,25
WBGene00049522,0,0,0,0,0,0,0,0
WBGene00021768,17173,17457,21090,11129,14690,14647,16505,17423
WBGene00049523,0,0,1,0,0,0,0,0
WBGene00021766,5452,6942,5950,5496,4679,5797,5768,6529
WBGene00021764,7693,10986,9600,9344,6668,8282,8538,9644
WBGene00021765,7738,9785,9166,8056,6517,7096,7509,7630
WBGene00021763,9851,13961,8854,12645,5777,10959,11908,14196
WBGene00049521,0,0,0,0,0,0,0,0
WBGene00008464,1024,1641,958,1117,841,1359,1495,2157
WBGene00049527,0,0,0,0,0,0,0,0
WBGene00049524,0,0,0,0,0,0,0,0
WBGene00049525,0,0,0,0,0,0,0,0
WBGene00169050,0,0,0,0,0,0,0,0
WBGene00196701,40,39,49,31,26,17,26,30
WBGene00167697,1,0,1,1,0,0,0,0
WBGene00048693,0,0,0,0,0,0,0,0
WBGene00167695,0,0,0,0,0,0,0,0
WBGene00167694,1,1,1,1,1,1,1,1
WBGene00167693,0,1,0,0,0,0,0,0
WBGene00167692,0,0,0,0,0,0,0,0
WBGene00167691,0,0,0,0,0,0,0,0
WBGene00167690,0,0,0,0,0,0,0,0
WBGene00048691,0,0,0,0,0,0,0,0
WBGene00167699,0,0,0,0,0,0,0,0
WBGene00167698,0,0,0,0,0,0,0,0
WBGene00003233,1680,2402,2357,1732,1762,1793,1586,1502
WBGene00003234,2211,3109,2928,2291,2821,3008,3049,3073
WBGene00048696,0,0,0,0,0,0,0,0
WBGene00003236,1888,2809,2386,2222,1688,2192,2404,2589
WBGene00048694,0,0,0,0,0,0,0,0
WBGene00167341,0,0,0,0,1,1,0,0
WBGene00167340,0,0,0,0,0,0,0,0
WBGene00167343,0,0,0,0,0,0,0,0
WBGene00167342,0,0,0,0,0,0,0,0
WBGene00167345,0,0,0,0,0,0,0,0
WBGene00167344,0,1,0,0,0,1,0,1
WBGene00167347,0,0,0,0,0,0,0,0
WBGene00167346,0,0,0,0,0,0,0,0
WBGene00167349,0,0,0,0,0,0,0,0
WBGene00167348,2,3,2,0,0,0,2,2
WBGene00050209,0,0,0,0,0,0,0,0
WBGene00005426,0,0,8,0,0,0,0,0
WBGene00174597,0,0,0,0,0,0,0,0
WBGene00044451,99,142,51,28,13,0,0,9
WBGene00004950,304,516,477,403,257,291,307,357
WBGene00004951,79803,109755,103925,80217,71977,82927,77295,70197
WBGene00004952,10459,14452,12870,13636,9961,13494,15409,17276
WBGene00004953,23129,32147,25171,27129,16251,24733,25281,29663
WBGene00004954,3164,3641,2907,2694,1967,2512,2459,2918
WBGene00004955,62190,76768,63775,60130,49299,62828,61696,67577
WBGene00004958,6238,7138,7878,5505,6128,5622,5636,4846
WBGene00004959,3224,3907,4198,3214,3763,3727,3649,3231
WBGene00005428,6,6,24,16,4,0,8,0
WBGene00196706,2,2,0,0,1,1,1,0
WBGene00171265,0,0,0,0,0,0,0,0
WBGene00171264,0,0,0,0,1,0,0,0
WBGene00009858,0,0,0,0,5,0,0,0
WBGene00171266,0,0,1,0,0,0,0,0
WBGene00171261,0,0,0,0,0,0,0,0
WBGene00171260,0,0,0,0,0,0,0,0
WBGene00171263,0,0,0,0,0,0,0,0
WBGene00171262,0,0,0,0,0,0,0,0
WBGene00009852,173,209,172,91,155,199,137,99
WBGene00009853,0,24,24,15,7,24,0,19
WBGene00009850,1208,1147,1191,933,1130,1066,972,999
WBGene00009851,1623,2368,1930,1567,2036,2235,2262,1982
WBGene00009856,82,99,85,62,39,55,42,38
WBGene00219374,1066,1264,899,1162,741,906,957,1290
WBGene00009854,238,418,314,286,324,324,289,237
WBGene00009855,44,116,82,71,71,83,53,40
WBGene00196181,0,1,0,0,0,0,0,0
WBGene00200058,0,0,0,0,0,0,0,0
WBGene00008894,32,24,25,19,365,297,313,245
WBGene00008897,0,0,0,0,722,616,640,529
WBGene00008891,169,234,291,73,125,161,104,52
WBGene00008890,320,458,525,369,282,459,479,325
WBGene00008893,0,0,0,0,0,0,3,0
WBGene00008892,215,339,431,219,209,180,195,131
WBGene00008899,78,89,39,41,137,168,210,165
WBGene00008898,39,68,31,20,4,0,12,0
WBGene00196662,0,0,0,0,0,0,0,1
WBGene00045319,12,7,2,2,5,1,0,0
WBGene00196663,0,2,1,2,0,0,0,0
WBGene00199630,0,0,0,0,0,0,0,0
WBGene00022108,3181,3593,3648,2673,2852,2783,2736,2856
WBGene00022103,25119,32107,48958,22266,36162,37470,28091,12420
WBGene00022102,1683,1921,1974,1308,1523,1365,1275,1307
WBGene00022101,3526,4897,5888,4346,4901,5162,5018,4063
WBGene00022100,2750,4276,3882,2915,2732,3102,3008,2679
WBGene00022107,4041,5106,4513,4570,3455,4604,4503,5118
WBGene00022106,459,627,664,489,396,422,301,308
WBGene00022104,1698,2115,2510,1969,1451,1613,1656,1937
WBGene00020505,7,11,20,5,8,28,7,8
WBGene00196660,0,0,2,0,4,0,1,0
WBGene00170608,0,0,0,0,0,0,0,0
WBGene00170609,1,1,2,1,1,2,1,1
WBGene00170604,0,0,0,0,0,0,0,0
WBGene00170605,0,0,0,0,0,0,0,0
WBGene00170606,0,0,0,0,0,0,0,0
WBGene00170607,0,0,0,0,0,0,0,0
WBGene00170600,0,0,0,2,0,1,0,0
WBGene00170601,0,0,0,0,0,0,0,0
WBGene00170602,0,0,0,0,0,0,0,0
WBGene00170603,0,0,0,0,0,0,0,0
WBGene00007542,14,64,47,29,4,29,27,30
WBGene00007543,1557,1843,1206,1486,1545,1192,1587,1383
WBGene00007540,38,15,0,0,0,0,0,0
WBGene00007541,1556,1645,1063,1221,1270,1148,1315,1244
WBGene00007546,1022,1066,1030,814,929,846,885,914
WBGene00007547,985,1456,1183,1000,895,1086,994,1048
WBGene00007544,1529,1460,1027,1199,1197,1091,1230,1157
WBGene00007545,13374,17798,14939,15221,9487,12449,12927,14595
